Área Influenciadora,Área Influenciada,Ocorrências
Área não informada,Área não informada,84
Ciências Exatas e da Terra,Área não informada,23
Engenharias,Área não informada,22
Área não informada,Engenharias,21
Engenharias,Engenharias,14
Área não informada,Ciências Exatas e da Terra,11
Área não informada,Ciências Sociais Aplicadas,11
Ciências Humanas,Área não informada,8
Ciências Sociais Aplicadas,Área não informada,8
Ciências Exatas e da Terra,Ciências Exatas e da Terra,7
Ciências Exatas e da Terra,Engenharias,4
Ciências Humanas,Ciências Sociais Aplicadas,3
Engenharias,Ciências Exatas e da Terra,2
Ciências Exatas e da Terra,Ciências Sociais Aplicadas,1
Área não informada,Ciências Humanas,1
Área não informada,Engenharia de Materiais e Metalúrgica,1
Área não informada,Outros,1
Engenharias,Engenharia de Materiais e Metalúrgica,1
"Lingüística, Letras e Artes",Área não informada,1
Ciências Humanas,Ciências Exatas e da Terra,1
Ciências Sociais Aplicadas,Ciências Sociais Aplicadas,1
Física,Área não informada,1
Ciências Agrárias,Engenharias,1
Ciências Biológicas,Engenharias,1
Ciências da Saúde,Ciências Exatas e da Terra,1
