Área Influenciadora,Área Influenciada,Ocorrências
Engenharias,Engenharias,14
Ciências Exatas e da Terra,Ciências Exatas e da Terra,7
Ciências Exatas e da Terra,Engenharias,4
Ciências Humanas,Ciências Sociais Aplicadas,3
Engenharias,Ciências Exatas e da Terra,2
Ciências Exatas e da Terra,Ciências Sociais Aplicadas,1
Engenharias,Engenharia de Materiais e Metalúrgica,1
Ciências Humanas,Ciências Exatas e da Terra,1
Ciências Agrárias,Engenharias,1
Ciências Biológicas,Engenharias,1
Ciências Sociais Aplicadas,Ciências Sociais Aplicadas,1
Ciências da Saúde,Ciências Exatas e da Terra,1
